No_tuile1,No_tuile2,Nom_tuile,BIN,GRID
22fg102,22f07102,Lac au Loup Marin,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Bin/F22f07_0102.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Grid/F22f07_0102.zip
22he102,22h05102,Mont-Louis,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Bin/F22h05_0102.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Grid/F22h05_0102.zip
12ef101,12e06101,Baie des Sables,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Bin/F12e06_0101.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Grid/F12e06_0101.zip
12eg102,12e07102,Rivière Ferrée,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Bin/F12e07_0102.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Grid/F12e07_0102.zip
32eg102,32e07102,Lac Wawagosic,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Bin/F32e07_0102.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Grid/F32e07_0102.zip
32ff101,32f06101,Île Canica,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Bin/F32f06_0101.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Grid/F32f06_0101.zip
32ge102,32g05102,Lac Pierrefonds,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Bin/F32g05_0102.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Grid/F32g05_0102.zip
32gh101,32g08101,Lac Rohault,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Bin/F32g08_0101.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Grid/F32g08_0101.zip
32hg102,32h07102,Lac Long,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Bin/F32h07_0102.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Grid/F32h07_0102.zip
22ef101,22e06101,Lac Alex,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Bin/F22e06_0101.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Grid/F22e06_0101.zip
22fe102,22f05102,Labrieville,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Bin/F22f05_0102.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Matriciel/Elevation/Local/MNA_20k/Grid/F22f05_0102.zip
